Subject,Predicate,Object
Album Leaf from Illustrations of Chinese Costumes,描述,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour depiction of a male figure being pushed in a rear-powered wheeled cart or rickshaw. The passenger, labelled as a merchant, is wearing a long blue robe with cuffs covering his hands. He also wears a brown coned hat with red tassels and black boots. The porter wears a black tunic over short pants with sandals and a straw hat."
Album Leaf from Illustrations of Chinese Costumes,材质,ink; paper
Album Leaf from Illustrations of Chinese Costumes,尺寸,sheet: 17.2 cm x 28 cm; image: 10.8 cm x 16.8 cm
Album Leaf from Illustrations of Chinese Costumes,对象类型,album leaf
Album Leaf from Illustrations of Chinese Costumes,时期,Qing 18th century
Album Leaf from Illustrations of Chinese Costumes,制作地点,China
Embroidered Purple Silk Robe for a Woman,创作者,unknown
Embroidered Purple Silk Robe for a Woman,类别,clothing
Embroidered Purple Silk Robe for a Woman,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Purple Silk Robe for a Woman,文化,Chinese
Embroidered Purple Silk Robe for a Woman,制作时间,date unknown
Embroidered Purple Silk Robe for a Woman,材质,purple silk plain weave embroidered with silk
Embroidered Purple Silk Robe for a Woman,尺寸,overall: 142.7 cm x 131.6 cm; neck to hem: 142.7 cm; cuff to cuff: x 131.6 cm
Embroidered Purple Silk Robe for a Woman,对象类型,robe
Embroidered Purple Silk Robe for a Woman,时期,Qing 19th century
Embroidered Purple Silk Robe for a Woman,制作地点,China
Album Leaf from Figures in River Landscapes,创作者,Wang Gai
Album Leaf from Figures in River Landscapes,类别,albums
Album Leaf from Figures in River Landscapes,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Figures in River Landscapes,文化,Chinese
Album Leaf from Figures in River Landscapes,制作时间,1702
Album Leaf from Figures in River Landscapes,描述,"This is the eighth leaf from the Figures in River Landscape  album by Wang Gai (1677-1705), which is painted with ink and colour on paper. Each leaf contains a landscape, which was painted in situ by Wang Gai. Repeating themes throughout the album include figures immersed in the natural environment, which reflects the literati’s yearning and nostalgia.
This leaf contains a scenic and tranquil landscape of several mountain ranges, cliffs, a river, a cottage and blooming trees and mosses. On the right side of the scene, there is a man standing on a bridge observing the landscape around him."
Album Leaf from Figures in River Landscapes,材质,ink and colour on paper
Album Leaf from Figures in River Landscapes,对象类型,album leaf
Album Leaf from Figures in River Landscapes,时期,Qing 18th century
Album Leaf from Figures in River Landscapes,制作地点,China
Red Silk Cut Velvet Hanging,创作者,unknown
Red Silk Cut Velvet Hanging,类别,textiles
Red Silk Cut Velvet Hanging,捐赠来源,Gift of Sandy and Cécile Mactaggart
Red Silk Cut Velvet Hanging,文化,Chinese
Red Silk Cut Velvet Hanging,制作时间,date unknown
Red Silk Cut Velvet Hanging,材质,silk; silk velvet brocade
Red Silk Cut Velvet Hanging,尺寸,overall: 198 cm x 177.5 cm
Red Silk Cut Velvet Hanging,对象类型,hanging
Red Silk Cut Velvet Hanging,时期,Qing 19th century
Red Silk Cut Velvet Hanging,制作地点,China
Front and Back Panels of a Rank Badge for a Third Rank Military Official,创作者,unknown
Front and Back Panels of a Rank Badge for a Third Rank Military Official,类别,textiles
Front and Back Panels of a Rank Badge for a Third Rank Military Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Front and Back Panels of a Rank Badge for a Third Rank Military Official,文化,Chinese
Front and Back Panels of a Rank Badge for a Third Rank Military Official,制作时间,1862-1874
Front and Back Panels of a Rank Badge for a Third Rank Military Official,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This pair of rank badges features a leopard rendered in tapestry weave with details painted with ink, representing a third rank military official. The leopard is identified by its spots, which look like geometric marks throughout its body, and green eyebrows, which are typical in the late Qing dynasty.
The front badge is made into two separate panels to accommodate the front opening of a surcoat, while the back badge is made in one piece. The patterns on the front and back badges are identical. The leopard is positioned in the center of the badge, surrounded by clouds, small white flowers, bats, and other auspicious symbols. Select details are highlighted with metal-wrapped threads, including the standing water waves below the leopard. The position of the sun on the right side of the badge indicates that the wearer was a woman, likely the spouse of a military official. The border features show characters and bats, which are symbols of luck."
Front and Back Panels of a Rank Badge for a Third Rank Military Official,材质,silk and metal-wrapped thread tapestry weave with ink
Front and Back Panels of a Rank Badge for a Third Rank Military Official,对象类型,rank badge
Front and Back Panels of a Rank Badge for a Third Rank Military Official,时期,Qing 19th century
Front and Back Panels of a Rank Badge for a Third Rank Military Official,制作地点,China
Album Leaf from Illustrations of Costumes from the Qianlong Court,创作者,unknown
Album Leaf from Illustrations of Costumes from the Qianlong Court,类别,albums
Album Leaf from Illustrations of Costumes from the Qianlong Court,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Illustrations of Costumes from the Qianlong Court,文化,Chinese
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作时间,ca. 1759
Album Leaf from Illustrations of Costumes from the Qianlong Court,描述,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.33) and it contains seven columns of regular script calligraphy describing the regulations of a winter court robe (chaopao) the first style for the empress dowager and empress."
Album Leaf from Illustrations of Costumes from the Qianlong Court,题跋,"龍九 間以五色雲 中無襞積 下幅八寶平水 披領行龍二 袖端正龍各一 袖相接處行龍各二 領後垂明黃縧 其飾珠寶惟宜 餘俱如前 皇貴妃同 Translation of the Chinese text:… 

													龍九 間以五色雲 中無襞積 下幅八寶平水 披領行龍二 袖端正龍各一 袖相接處行龍各二 領後垂明黃縧 其飾珠寶惟宜 餘俱如前 皇貴妃同 Translation of the Chinese text: ""[continuing from the right leaf, 2004.19.1.1.33]...include nine golden dragons spaced by five-colour clouds. The middle [of the robe] does not have pleats. The lower part is decorated with ""eight treasures and level waters"" [babao, pingshui]. There are two moving dragons embroidered on the flared shoulder collar, one front-facing dragon on each cuff, and each sleeve has two moving dragons at the joint place. The back of the collar attaches a hanging with bright yellow ribbons adorned with pearls and gems as fitting. The first-rank imperial consort will have the same design.""
(Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 103; Modified by Isabel Pi-fen Chueh)
On the reverse of the piece ""(36)"" is handwritten in pencil on the upper right corner 
Read More +"
Album Leaf from Illustrations of Costumes from the Qianlong Court,材质,ink; silk; paper
Album Leaf from Illustrations of Costumes from the Qianlong Court,尺寸,sheet: 42.2 cm x 81.7 cm; image: 12.5 cm x 12.5 cm
Album Leaf from Illustrations of Costumes from the Qianlong Court,对象类型,album leaf
Album Leaf from Illustrations of Costumes from the Qianlong Court,时期,Qing 18th century
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作地点,China
Insole,创作者,unknown
Insole,类别,clothing
Insole,捐赠来源,Gift of Sandy and Cécile Mactaggart
Insole,文化,Chinese
Insole,制作时间,date unknown
Insole,材质,"felt, cork"
Insole,尺寸,overall: 26.4 cm x 7.9 cm x .4 cm
Insole,对象类型,insole
Insole,时期,Qing 19th century
Insole,制作地点,China
Album Leaf from Illustrations of Costumes from the Qianlong Court,创作者,unknown
Album Leaf from Illustrations of Costumes from the Qianlong Court,类别,albums
Album Leaf from Illustrations of Costumes from the Qianlong Court,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Illustrations of Costumes from the Qianlong Court,文化,Chinese
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作时间,ca. 1759
Album Leaf from Illustrations of Costumes from the Qianlong Court,描述,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.11) and it contains eight columns of regular script calligraphy describing the regulations for a jeweled collar (lingyue) for the empress dowager and empress."
Album Leaf from Illustrations of Costumes from the Qianlong Court,题跋,"皇太后 皇后領約 謹按 本朝定制 皇太后 皇后領約 縷金為之 飾東珠十一 間以珊瑚 兩端垂明黃縧二 中各貫珊瑚 末墜綠松石各二 Translation of the Chinese text: ""Jeweled collar… 

													皇太后 皇后領約 謹按 本朝定制 皇太后 皇后領約 縷金為之 飾東珠十一 間以珊瑚 兩端垂明黃縧二 中各貫珊瑚 末墜綠松石各二 Translation of the Chinese text: ""Jeweled collar lingyue for the Empress Dowager and Empress/In accordance with the decree of the present dynasty: The jeweled collar lingyue of the Empress Dowager and Empress is engraved gold decorated with eleven eastern pearls spaced by coral. There are two bright yellow dangling bands: at the centre which are strung with coral beads, and the ends are adorned with two green turquoise stones.""
 (Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 104)
On the reverse ""(58)"" is handwritten in pencil on the upper left corner. 
Read More +"
Album Leaf from Illustrations of Costumes from the Qianlong Court,材质,ink; silk; paper
Album Leaf from Illustrations of Costumes from the Qianlong Court,尺寸,sheet: 42.2 cm x 40.8 cm; image: 34.2 cm x 31.6 cm
Album Leaf from Illustrations of Costumes from the Qianlong Court,对象类型,album leaf
Album Leaf from Illustrations of Costumes from the Qianlong Court,时期,Qing 18th century
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作地点,China
Silk Brocade Yardage,创作者,unknown
Silk Brocade Yardage,类别,textiles
Silk Brocade Yardage,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Brocade Yardage,文化,Chinese
Silk Brocade Yardage,制作时间,date unknown
Silk Brocade Yardage,材质,gold wrapped silk thread; silk brocade
Silk Brocade Yardage,尺寸,overall: 73.5 cm x 409 cm
Silk Brocade Yardage,对象类型,yardage
Silk Brocade Yardage,时期,Qing 20th century
Silk Brocade Yardage,制作地点,China
Front Panel of a Rank Badge for a Ninth Rank Civil Official,创作者,unknown
Front Panel of a Rank Badge for a Ninth Rank Civil Official,类别,textiles
Front Panel of a Rank Badge for a Ninth Rank Civil Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Front Panel of a Rank Badge for a Ninth Rank Civil Official,文化,Chinese
Front Panel of a Rank Badge for a Ninth Rank Civil Official,制作时间,1875-1908
Front Panel of a Rank Badge for a Ninth Rank Civil Official,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. 
This rank badge features a flycatcher, representing a ninth rank civil official. In the Ming Dynasty, the birds on rank badges were often presented in pairs in an upper and lower position. Later, in the Qing Dynasty, only one bird or beast was seen on rank badges. The bird perches on rocks, surrounded with bamboo and cherry blossoms. The badge is adorned with counted stitch embroidery on silk gauze."
Front Panel of a Rank Badge for a Ninth Rank Civil Official,材质,gold wrapped silk thread; linen; silk; silver wrapped silk thread; embroidery
Front Panel of a Rank Badge for a Ninth Rank Civil Official,对象类型,rank badge
Front Panel of a Rank Badge for a Ninth Rank Civil Official,时期,Qing 19th-20th centuries
Front Panel of a Rank Badge for a Ninth Rank Civil Official,制作地点,China
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",创作者,Gao Jin
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",类别,published works
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",捐赠来源,Gift of Sandy and Cécile Mactaggart
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",文化,Chinese
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",制作时间,1771
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",描述,"One set of the Yuzhi nanxun shengdian [Magnificent Record of the Southern Tours], edited by Gao Jin et al. Volume 26, Chapter 63-65. Sidian [Sacrificial rites]. Woodblock printed, thread binding."
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",材质,"printed woodblock, thread binding"
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",尺寸,overall: 29.8 cm x 20.5 cm
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",对象类型,book
"Magnificent Record of the Southern Tours, volumes 26, chapters 63-65",制作地点,China: Beijing
Front Panel of a Rank Badge for a Fifth Rank Civil Official,创作者,unknown
Front Panel of a Rank Badge for a Fifth Rank Civil Official,类别,textiles
Front Panel of a Rank Badge for a Fifth Rank Civil Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Front Panel of a Rank Badge for a Fifth Rank Civil Official,文化,Chinese
Front Panel of a Rank Badge for a Fifth Rank Civil Official,制作时间,1862-1874
Front Panel of a Rank Badge for a Fifth Rank Civil Official,描述,"Qing Period (1644-1911), Fifth Rank Civil Official (Silver Pheasant)

(source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)"
Front Panel of a Rank Badge for a Fifth Rank Civil Official,材质,gold wrapped silk thread; ink; tapestry weave; linen; silk; silver wrapped silk thread
Front Panel of a Rank Badge for a Fifth Rank Civil Official,对象类型,rank badge
Front Panel of a Rank Badge for a Fifth Rank Civil Official,时期,Qing 19th century
Front Panel of a Rank Badge for a Fifth Rank Civil Official,制作地点,China
Embroidered Silk Chair Cover,创作者,unknown
Embroidered Silk Chair Cover,类别,textiles
Embroidered Silk Chair Cover,捐赠来源,Gift of Sandy and Cécile Mactaggart
Embroidered Silk Chair Cover,文化,Chinese
Embroidered Silk Chair Cover,制作时间,1662-1722
Embroidered Silk Chair Cover,描述,(bird looking right)
Embroidered Silk Chair Cover,材质,silk floss; silk twill; metallic thread; embroidery
Embroidered Silk Chair Cover,尺寸,overall: 136.5 cm x 51.9 cm
Embroidered Silk Chair Cover,对象类型,chair cover
Embroidered Silk Chair Cover,时期,Qing 17th-18th centuries
Embroidered Silk Chair Cover,制作地点,China
Collar,创作者,unknown
Collar,类别,clothing
Collar,捐赠来源,Gift of Sandy and Cécile Mactaggart
Collar,文化,Chinese
Collar,制作时间,date unknown
Collar,描述,"This late Qing collar, made from a light blue silk damask with a floral pattern, was designed to be worn as a part of an official’s attire.The short  standing collar is attached to a front placket and a back yoke, with two simple frog closures at the chest. This separate collar was worn as a form of underwear that could be laundered easier than a robe or surcoat."
Collar,材质,brass; cotton; paper; silk; silk damask; silk satin
Collar,尺寸,overall: 66 cm x 30.8 cm
Collar,对象类型,collar
Collar,时期,Qing 19th century
Collar,制作地点,China
Circular Fan Cover,创作者,unknown
Circular Fan Cover,类别,textiles
Circular Fan Cover,捐赠来源,Gift of Sandy and Cécile Mactaggart
Circular Fan Cover,文化,Chinese
Circular Fan Cover,制作时间,date unknown
Circular Fan Cover,材质,polyester; brocade ribbon
Circular Fan Cover,尺寸,overall:
Circular Fan Cover,对象类型,cover
Circular Fan Cover,时期,Qing 19th century
Circular Fan Cover,制作地点,China
Silk Brocade Fragmentary Banner,创作者,unknown
Silk Brocade Fragmentary Banner,类别,textiles
Silk Brocade Fragmentary Banner,捐赠来源,Gift of Sandy and Cécile Mactaggart
Silk Brocade Fragmentary Banner,文化,Chinese
Silk Brocade Fragmentary Banner,制作时间,1573-1619
Silk Brocade Fragmentary Banner,材质,metallic thread; silk brocade; silk satin
Silk Brocade Fragmentary Banner,尺寸,overall: 224.3 cm x 15.2 cm
Silk Brocade Fragmentary Banner,对象类型,banner
Silk Brocade Fragmentary Banner,时期,Ming 16th-17th centuries
Silk Brocade Fragmentary Banner,制作地点,China
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,创作者,unknown
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,类别,textiles
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,文化,Chinese
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,制作时间,1736-1795
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This pair of rank badges features a crane, which is identified by its red crown and white feathers. The crane is standing on a rock amidst multi-coloured waves, pink peonies, trees, and clouds. The motifs on these badges have been rendered in tapestry weave with a brilliant gold background. The front badge is made into two separate panels to accommodate the front opening of a surcoat, while the back badge is made in one piece. The patterns on the front and back badges are identical. The sun on the left side of these badges indicates that the wearer was male."
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,材质,gold wrapped silk thread; ink; linen; silk; tapestry weave; glass; wood
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,尺寸,overall: 44.2 cm x 90.5 cm x 1.7 cm
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,对象类型,rank badge
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,时期,Qing 18th century
Front and Back Panels of a Rank Badge for a First-Rank Civil Official,制作地点,China
Rocks and Stream in Bamboo Grove,创作者,Zhu Sheng
Rocks and Stream in Bamboo Grove,类别,paintings
Rocks and Stream in Bamboo Grove,捐赠来源,Gift of Sandy and Cécile Mactaggart
Rocks and Stream in Bamboo Grove,文化,Chinese
Rocks and Stream in Bamboo Grove,制作时间,1681
Rocks and Stream in Bamboo Grove,材质,ink on silk
Rocks and Stream in Bamboo Grove,对象类型,hanging scroll
Rocks and Stream in Bamboo Grove,时期,Qing 17th century
Rocks and Stream in Bamboo Grove,制作地点,China
Embroidered Blue-Black Silk Robe for a Woman,创作者,unknown
Embroidered Blue-Black Silk Robe for a Woman,类别,textiles
Embroidered Blue-Black Silk Robe for a Woman,捐赠来源,Gift of Jean Small
Embroidered Blue-Black Silk Robe for a Woman,文化,Chinese
Embroidered Blue-Black Silk Robe for a Woman,制作时间,1875-1900
Embroidered Blue-Black Silk Robe for a Woman,材质,blue silk embroidered with metal-wrapped threads and silk
Embroidered Blue-Black Silk Robe for a Woman,尺寸,overall: 99 cm x 106.6 cm
Embroidered Blue-Black Silk Robe for a Woman,对象类型,robe
Embroidered Blue-Black Silk Robe for a Woman,制作地点,China
Red Silk Brocade Chair Cover,创作者,unknown
Red Silk Brocade Chair Cover,类别,textiles
Red Silk Brocade Chair Cover,捐赠来源,Gift of Sandy and Cécile Mactaggart
Red Silk Brocade Chair Cover,文化,Chinese
Red Silk Brocade Chair Cover,制作时间,1736-1795
Red Silk Brocade Chair Cover,材质,silk brocade; linen; silk
Red Silk Brocade Chair Cover,尺寸,overall: 160.8 cm x 52.9 cm
Red Silk Brocade Chair Cover,对象类型,chair cover
Red Silk Brocade Chair Cover,时期,Qing 18th century
Red Silk Brocade Chair Cover,制作地点,China
Album Leaf from Illustrations of Costumes from the Qianlong Court,创作者,unknown
Album Leaf from Illustrations of Costumes from the Qianlong Court,类别,albums
Album Leaf from Illustrations of Costumes from the Qianlong Court,捐赠来源,Gift of Sandy and Cécile Mactaggart
Album Leaf from Illustrations of Costumes from the Qianlong Court,文化,Chinese
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作时间,ca. 1759
Album Leaf from Illustrations of Costumes from the Qianlong Court,描述,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the left leaf of one folio (attached to 2004.19.1.37) and it contains seven columns of regular script calligraph describing the regulations of a court vest (chaogua), the third style, for the empress dowager and empress. The text on this leaf continues from the attached leaf on the right side."
Album Leaf from Illustrations of Costumes from the Qianlong Court,题跋,"無襞積 下幅八寶平水 領後垂明黃縧 其飾珠寶惟宜 緞紗單袷 各以其時 皇貴妃 皇太子妃皆同 Translation of the Chinese text: ""[continuing from the right leaf, 2004.19.1.1.37]... [of the… 

													無襞積 下幅八寶平水 領後垂明黃縧 其飾珠寶惟宜 緞紗單袷 各以其時 皇貴妃 皇太子妃皆同 Translation of the Chinese text: ""[continuing from the right leaf, 2004.19.1.1.37]... [of the vest] does not have pleats. At the bottom [of the vest] decorates with the design ""eight treasures and level waters"" [babao pingshui]. The back of the collar attaches a hanging with bright yellow ribbons adorned with pearls and gems as fitting. Satin, gauze, lined and unlined garments are worn according to the season. The court vest of the imperial consort and that of the imperial heir apparent's consort is the same.""
(Translated and transcribed by Lisa Claypool Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 103; Modified by Isabel Pi-fen Chueh)
On the reverse of the piece ""(31)"" is handwritten in pencil on the upper left corner.  Below the pencil number are two black ink markings. 
Read More +"
Album Leaf from Illustrations of Costumes from the Qianlong Court,材质,ink; silk; paper
Album Leaf from Illustrations of Costumes from the Qianlong Court,尺寸,sheet: 42.2 cm x 40.9 cm; image: 25.1 cm x 31.4 cm
Album Leaf from Illustrations of Costumes from the Qianlong Court,对象类型,album leaf
Album Leaf from Illustrations of Costumes from the Qianlong Court,时期,Qing 18th century
Album Leaf from Illustrations of Costumes from the Qianlong Court,制作地点,China
Blue Silk Tapestry Weave Uncut Platform Shoes for a Woman,创作者,unknown
Blue Silk Tapestry Weave Uncut Platform Shoes for a Woman,类别,textiles
Blue Silk Tapestry Weave Uncut Platform Shoes for a Woman,捐赠来源,Gift of Sandy and Cécile Mactaggart
Blue Silk Tapestry Weave Uncut Platform Shoes for a Woman,文化,Chinese
Blue Silk Tapestry Weave Uncut Platform Shoes for a Woman,制作时间,date unknown
Blue Silk Tapestry Weave Uncut Platform Shoes for a Woman,材质,silk tapestry weave
Blue Silk Tapestry Weave Uncut Platform Shoes for a Woman,对象类型,yardage
Blue Silk Tapestry Weave Uncut Platform Shoes for a Woman,时期,Qing 19th century
Blue Silk Tapestry Weave Uncut Platform Shoes for a Woman,制作地点,China
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,创作者,unknown
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,类别,textiles
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,捐赠来源,Gift of Sandy and Cécile Mactaggart
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,文化,Chinese
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,制作时间,1875-1908
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This pair of rank badges features a goose, which represents the fourth rank of a civil official.
The front badge is made into two separate panels to accommodate the front opening of a surcoat, while the back badge is made in one piece. The patterns on the front and back badges are identical. This rank badge pair was decorated with counted stitch embroidery made from polychrome silk floss and metal-wrapped threads. In the center of the badge is a goose standing on rocks and surrounded by waves. The bird is looking toward a red sun at the upper left corner. Blue curvilinear clouds fill the background of the top of the badge, while interlinked ruyi clouds form a line underneath the waves. The bottom shows diagonal stripes, representing standing water, woven in two-toned metal-wrapped threads. The Eight Buddhist Treasures are scattered throughout, including the parasol, canopy, endless knot and lotus in the sky, and the vase, fish, conch, and wheel in the waves. The border of the badge features black embroidery with bats (which represent fortune) and longevity characters."
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,材质,gold wrapped silk thread; linen; silk; silk floss; silver wrapped silk thread; embroidery
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,对象类型,rank badge
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,时期,Qing 19th-20th centuries
Front and Back Panels of a Rank Badge for a Fourth Rank Civil Official,制作地点,China
Court Necklace and Box,创作者,unknown
Court Necklace and Box,类别,costume accessories
Court Necklace and Box,捐赠来源,Gift of Sandy and Cécile Mactaggart
Court Necklace and Box,文化,Chinese
Court Necklace and Box,制作时间,date unknown
Court Necklace and Box,描述,"A court necklace (chaozhu) with 108 translucent red glass beads (possibly imitating amber), large jadeite beads, opaque coral beads, and jadeite and brass pendants. Two strands of beads hang off the right side of the necklace, while the single strand hangs off the left. Each of these strands contains two groups of five coral beads on a silk cord and end in a jadeite teardrop pendant with a brass connector. A flat yellow silk cord with blue and white striped sections and a jadeite and brass pendant hangs down the back of the wearer's neck as a counterweight. This counterweight strand is connected to the rest of the necklace by a jadeite bead. Near this bead, the necklace cord is wrapped with white, blue and black silk thread and has two circular brass connectors. Court necklaces have 108 beads divided into four sets of 27 beads, which are separated by large Buddha beads (futou) (Vollmer, Dressed to Rule, p. 52). The Huangchao liqi tushi (2004.19.1.1.9) demonstrates how high ranking female members of the imperial court wore three court necklaces (two criss-crossed around her torso and one around her neck), with specific materials for each rank. This necklace was accessioned as a part of a group of garments and accessories that make up a man's court outfit during the Qing Dynasty. There is an accompanying blue cotton box (2005.5.621.5.2) that may have stored this necklace."
Court Necklace and Box,对象类型,necklace and box
Court Necklace and Box,时期,Qing 19th century
