Subject,Predicate,Object,ObjectLabel
2004.19.2.15,标题,Album Leaf from Illustrations of Chinese Costumes,title
2010.20.1.7.3,材质,"printed woodblock, thread binding",material
2005.5.379,类别,clothing,category
2005.5.88.7,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.304,材料术语,Tapestry Weave											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.11.10,材质,ink and colour on silk,material
2005.5.587,制作时间,1875-1908,date
2005.5.230.4,制作地点,China,place
2005.5.614,制作地点,China,place
2005.5.631,对象类型,needle case,type
2005.5.562.1.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2010.20.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.7,类别,paintings,category
2005.5.616,时期,Qing 19th century,period
2005.5.169,材质,"pale blue-green silk satin embroidered with silk and metal-wrapped threads, edged with embroidered yellow silk satin",material
2005.5.471,类别,clothing,category
2004.19.1.1.65,题跋,The seal impression reads: 五福五代堂古稀天子寶 'Treasure of the Septuagenary Son of Heaven and the Five Generations in the Hall of the Five Happinesses',inscription
2004.19.71.7,对象类型,album leaf,type
2005.5.594.2,制作地点,China,place
2005.5.275,尺寸,overall: 81.4 cm x 117 cm,measurement
2005.5.112.2,制作地点,China,place
2005.5.175,材质,orange silk twill embroidered with silk and metal-wrapped threads,material
2005.5.590.1,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts. This badge is considered incomplete, as there is no bird or beast in the design. Surrounding the central blank space are clouds set against a dark background, with a scholar’s rock and wave-like pattern at the bottom.",description
2005.5.518,材质,gold wrapped silk thread; silk brocade,material
2004.19.1.1.50,题跋,"On the reverse of the piece ""(18)"" is handwritten in pencil on the upper right corner.",inscription
2015.8.4,文化,Chinese,culture
2005.5.635,制作地点,China,place
2004.19.68.1.18,标题,Print from the Qianlong Emperor’s Conquests,title
2005.5.466,对象类型,jacket,type
2005.5.2,制作地点,China,place
2004.19.71.2,标题,Album Leaf from Landscapes After the Old Masters,title
2005.5.590,文化,Chinese,culture
2005.5.147.2,材质,silk; silk brocade; silk floss; silk satin; silk twill; embroidery,material
2005.5.286.2,制作地点,China,place
2005.5.604.1,时期,Qing 19th-20th centuries,period
2005.5.627,制作地点,China,place
2004.19.9.7,时期,Qing 17th-18th centuries,period
2005.5.346,制作地点,China,place
2010.20.1.2.3,制作地点,China: Beijing,place
2005.5.527,制作地点,China,place
2004.19.2.42,描述,"This album leaf is a part of a 48-page album that depicts Chinese subjects participating in various aspects of daily life, including government business, daily life, cultural customs, modes of transportation, and corporal punishment. This leaf contains an ink and watercolour depiction of a woman from a rural area. She wears a mid-length blue tunic over a pleated skirt with a sash tied around her waist. She is also wearing a brimmed straw hat. She holds her shoes in her right hand.",description
2005.5.172,类别,clothing,category
2010.16.1,制作地点,"China: Jiangsu, Yangzhou",place
2004.19.9.6,材质,ink and colour on paper,material
2010.20.1.1.3,创作者,Gao Jin,artist
2005.5.330,文化,Chinese,culture
2005.5.568.1.2,尺寸,overall: 29.4 cm x 15.5 cm,measurement
2005.5.616,标题,Left Side of the Front Panel of a Rank Badge,title
2005.5.337.2.1,制作地点,China,place
2005.5.384.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.227,材质,silk floss; silk gauze,material
2004.19.14,尺寸,sheet: 239.4 cm x 57.5 cm; image: 78 cm x 34.7 cm,measurement
2005.5.580.2,制作时间,1875-1908,date
2005.5.245.2,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.38.22,类别,albums,category
2005.5.448.4,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.1.1.27,文化,Chinese,culture
2010.20.1.2.5,尺寸,overall: 29.8 cm x 20.5 cm,measurement
2005.5.621.4,材料术语,Damask											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.152.1,材质,silk damask edged with blue and black silk satin borders embroidered with silk and metal-wrapped threads,material
2005.5.91,材质,black figured silk gauze,material
2005.5.641.1,类别,clothing,category
2005.5.589,制作时间,1862-1874,date
2004.19.78,制作地点,China,place
2005.5.597,时期,Qing 19th century,period
2005.5.558,类别,textiles,category
2005.5.321,材质,brown silk gauze embroidered with silk and metal-wrapped threads,material
2010.20.1.6.6,尺寸,overall: 29.8 cm x 20.5 cm,measurement
2004.19.3.27,描述,A painting of three butterflies and a dragon fly.,description
2005.5.428,对象类型,yardage,type
2004.19.2.42,尺寸,sheet: 17.2 cm x 27.9 cm; image: 10.7 cm x 16.3 cm,measurement
2004.19.3.2,描述,A painting of a bamboo stem with a hornet's nest.,description
2004.19.35,描述,A hanging scroll painting depicting figures in front of a studio.,description
2005.5.384.2,制作地点,China,place
2005.5.503,制作地点,China,place
2005.5.274,制作地点,China,place
2005.5.441.1,文化,Chinese,culture
2004.19.73.1,材质,ink on paper,material
2004.19.1.1.47,尺寸,sheet: 42.2 cm x 40.8 cm; image: 27.9 cm x 24.4 cm,measurement
2004.19.72.12,材质,ink and colour on paper,material
2005.5.230.4,标题,Silk Tapestry Weave Fragmentary Panel,title
2010.20.1.5.3,文化,Chinese,culture
2010.20.1.6.6,制作时间,1771,date
2004.19.68.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.3.11,标题,Album Leaf from Insects,title
2009.8.11.3,制作时间,1900-1920,date
2004.19.1.1.64,对象类型,album leaf,type
2005.5.140.3,时期,Qing 20th century,period
2004.19.64.2,标题,Document from Summer Retreat in a River Village Handscroll and Storage Box,title
2005.5.578,文化,Chinese,culture
2005.5.364.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.52.2.1,类别,containers,category
2005.5.559.1,文化,Chinese,culture
2005.5.182,类别,clothing,category
2005.5.376,材料术语,Damask; Embroidery											 											  												 												 													 														View Materials Glossary Details » View Materials Glossary Details »,glossary
2004.19.1.1.2,制作地点,China,place
2005.5.492,材料术语,Brocade; Embroidery											 											  												 												 													 														View Materials Glossary Details » View Materials Glossary Details »,glossary
2004.19.1.1.27,制作时间,ca. 1759,date
2005.5.230.4,制作时间,1662-1722,date
2010.20.1.6.5,创作者,Gao Jin,artist
2005.5.605,文化,Chinese,culture
2005.5.560.1.2,类别,textiles,category
2004.19.2.43,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.143.4,对象类型,document cover,type
2005.5.154,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.78.1,尺寸,overall: 127 cm x 74.5 cm; image: 121.9 cm x 70 cm,measurement
2005.5.92,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.68.1.17,材质,silk; paper; ink,material
2005.5.621.6.2.2,制作地点,China,place
2005.5.36,材料术语,Brocade; Tapestry Weave											 											  												 												 													 														View Materials Glossary Details » View Materials Glossary Details »,glossary
2004.19.76.1,时期,Ming 15th century,period
2005.5.451,文化,Chinese,culture
2004.19.3.2,尺寸,sheet: 43.3 cm x 35.5 cm; image: 34.8 cm x 25.8 cm,measurement
2005.5.575.1.2,标题,Left Side of the Front Panel of a Rank Badge for a Fifth Rank Civil Official,title
2022.7.6.1,对象类型,rank badge,type
2005.5.145.1,对象类型,hanging,type
2010.20.1.4.6,对象类型,book,type
2004.19.38.19,创作者,Ren Yi,artist
2005.5.245.3,尺寸,overall: 63.2 cm x 12.2 cm,measurement
2005.5.414,文化,Chinese,culture
2004.19.2.30,材质,ink; paper,material
2005.5.640,材质,brass; cotton; silk; silk floss; silk satin; brocade braid; embroidery,material
2005.5.161,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.576.1.1,尺寸,overall: 28.2 cm x 14.8 cm,measurement
2005.5.576.1,标题,Front Panel of a Rank Badge for an Eighth Rank Civil Official,title
2005.5.288.2,时期,Qing 19th century,period
2005.5.546,制作地点,China,place
2005.5.444,标题,Brown Silk Velvet Panel,title
2005.5.170,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.593,时期,Qing 19th century,period
2005.5.130,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.2.9,尺寸,sheet: 17.2 cm x 28.1 cm; image: 10.6 cm x 16.7 cm,measurement
2005.5.528,时期,Qing 19th century,period
2005.5.606,描述,"Qing Period (1644-1911), First Rank Civil Official (Crane)  (source: John E. Vollmer & Jacqueline Simcox, ""Emblems of Empire: Selections from the Mactaggart Art Collection,"" (The University of Alberta Press and University of Alberta Museums, Edmonton, Alberta, 2009), p. 74.)",description
2005.5.368,材质,green silk twill embroidered with silk,material
2011.16.1.2,类别,costumes,category
2004.19.14.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.169.1,类别,clothing,category
2004.19.11.10,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.256,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.2.3,时期,Qing 18th century,period
2010.17.86,尺寸,overall: 88 cm x 110 cm; image: 77.6 cm x 110 cm,measurement
2005.5.283,尺寸,overall: 141 cm x 144 cm,measurement
2004.19.1.1.26,尺寸,sheet: 42.2 cm x 40.8 cm; image: 29.4 cm x 37.7 cm,measurement
2005.5.452,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.350.1,类别,costume accessories,category
2005.5.29,时期,Qing 19th century,period
2005.5.416.2,文化,Chinese,culture
2016.3.1.2,文化,Chinese,culture
2005.5.162,对象类型,jacket,type
2005.5.498,材质,silk brocade; silk; silk cut velvet,material
2005.5.343,时期,Qing 19th century,period
2004.19.38.23,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.46,标题,Brown Silk Panel made from a Fragment of a Woman's Skirt,title
2004.19.38.11,时期,Qing 19th century,period
2005.5.568,材质,gold wrapped silk thread; ink; linen; silk; silver wrapped silk thread; tapestry weave,material
2004.19.2.29,类别,albums,category
2005.5.240,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.28,标题,Red Silk Brocade Chair Cover,title
2005.5.534.1,制作时间,ca. 1900,date
2005.5.375,类别,clothing,category
2005.5.402,时期,Qing 18th century,period
2005.5.179,对象类型,robe,type
2005.5.160,类别,clothing,category
2022.7.3,对象类型,rank badge,type
2005.5.621.6.1.1,文化,Chinese,culture
2010.20.1.6.4,标题,"Magnificent Record of the Southern Tours, volume 34, chapters 87-88",title
2005.5.180,尺寸,overall: 144.7 cm x 217 cm; neck to hem: 144.7 cm; cuff to cuff: x 217 cm,measurement
2009.8.10,材质,burgundy silk damask with embroidered white silk satin sleeve bands and black silk facings with appliqué bats,material
2005.5.294.1,文化,Chinese,culture
2005.5.396,制作地点,China,place
2005.5.5,制作地点,China,place
2004.19.11.1,对象类型,hanging scroll,type
2005.5.574,尺寸,overall: 106.2 cm x 28.1 cm,measurement
2005.5.414,材质,ink; rayon; silk tapestry weave; silk; wood,material
2004.19.9.10,对象类型,album leaf,type
2005.5.152,材料术语,Damask; Embroidery											 											  												 												 													 														View Materials Glossary Details » View Materials Glossary Details »,glossary
2005.5.318,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.68.1.18,类别,prints,category
2005.5.167,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.131,材质,gold wrapped silk thread; silk damask; silk floss; silk satin; embroidery,material
2005.5.605.1.2,类别,textiles,category
2004.19.85.1,描述,"A handscroll painting depicting a landscape with a stream, bamboo and trees.",description
2005.5.456,标题,Embroidered Red Silk Robe,title
2022.7.5.1,文化,Chinese,culture
2004.19.68.1.9,制作时间,1767-1774,date
2010.20.1.1,标题,"Magnificent Record of the Southern Tours, volumes 1-6, chapters 1-15",title
2005.5.592.1,制作时间,1862-1874,date
2005.5.453,类别,clothing,category
2004.19.64.1,描述,"This landscape handscroll painting by Gu Fang (ca. 1690-1730) depicts a riverside village with mountains in the background and a river curving around a small village. Rock forms are painted primarily in blue and green paint, which is a typical genre of Chinese painting. There is a building in the middle of the painting with large open windows showing figures inside. On the left side of the painting there are two boats, a smaller group of buildings, and a figure with a group of oxen.",description
2005.5.138,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.1.1.18,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.607.1,制作时间,1862-1874,date
2005.5.460,时期,Qing 19th century,period
2005.5.568.2,尺寸,overall: 28.9 cm x 30.4 cm,measurement
2005.5.294.1,材质,silk; silk floss; silk jacquard; silk satin; embroidery,material
2005.5.169,标题,Embroidered Blue Silk Vest for a Straits Chinese Child,title
2005.5.576.1.2,材质,gold wrapped silk thread; silk; silk floss; silk gauze; silver wrapped silk thread; embroidery,material
2005.5.274,材质,gold wrapped silk thread; silk; silk brocade; silk floss; silk satin; embroidery,material
2005.5.588.2,描述,"Rank badges, always made in pairs, were placed on the front and back of surcoats in order to communicate their wearer’s rank during the Ming (1368-1644) and Qing dynasties (1644-1911). Different motifs were regulated by the imperial court, including bird motifs used only for civil officials, while beasts were used for military officials. The hierarchy of ranks within these categories was represented by specific birds and beasts.  This rank badge features a flycatcher, representing a ninth rank civil official. In the Ming Dynasty, the birds on rank badges were often presented in pairs in an upper and lower position. Later, in the Qing Dynasty, only one bird was seen on rank badges. The flycatcher is surrounded by ruyi-shaped clouds and four bats, with its wings spread wide and gaze directed toward the sun disk in the upper left corner. This badge is embroidered with gold-metal wrapped thread and silk floss using counted stitches on silk gauze.",description
CCEA2003.5.12,制作地点,Asia: China,place
2005.5.537.1,材料术语,Tapestry Weave; Brocade											 											  												 												 													 														View Materials Glossary Details » View Materials Glossary Details »,glossary
2005.5.257,标题,Embroidered Green Silk Informal Robe for a Woman,title
2005.5.120,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.26,类别,textiles,category
2004.19.79,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2010.20.1.1.2,材质,"printed woodblock, thread binding",material
2005.5.213,标题,Purple Silk Informal Winter Robe for a Woman,title
2022.7.6.1.1,描述,Qilin rank badges from the Guangxu Period (1875 - 1908),description
2004.19.1.1.31,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.1.1.50,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.79.10,材质,ink on silk,material
2004.19.1,材质,ink and colour on silk,material
2005.5.535,标题,Embroidered Silk Fragmentary Panel,title
2005.5.468,材质,gold wrapped silk thread; silk; silk brocade; silk floss; silk jacquard; silk satin; embroidery,material
2004.19.11.12,材质,ink and colour on silk,material
2005.5.138,制作地点,China,place
2004.19.38.22,文化,Chinese,culture
2005.5.399,类别,clothing,category
2005.5.335,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.210,时期,Qing 19th century,period
2005.5.391.1,制作地点,China,place
2004.19.59,描述,A hanging scroll painting of a standing female figure.,description
2005.5.145.1,时期,Qing 19th century,period
2010.20.1.6.6,文化,Chinese,culture
2007.23.1,材质,ink and mineral pigments on paper,material
2005.5.615,描述,"Qing Period (1652-1911), Fifth Rank Military Official (Bear)  (source: John E. Vollmer)",description
2004.19.57.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.53,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.135,材质,silk floss; silk satin,material
2005.5.370,材料术语,Tapestry Weave											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.559.2,类别,textiles,category
2005.5.506.1,时期,Qing 19th century,period
2005.5.134,材料术语,Brocade											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.281,制作地点,China,place
2004.19.1.1.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.426.2,文化,Chinese,culture
2005.5.547.2,尺寸,overall: 29.2 cm x 30.5 cm,measurement
2010.20.1.3.4,制作地点,China: Beijing,place
2005.5.641.2,尺寸,overall: 119.2 cm x 78.6 cm,measurement
2005.5.76,对象类型,vest,type
2005.5.606,材质,gold wrapped silk thread; ink; silk brocade; paper,material
2005.5.567.2,制作地点,China,place
2005.5.639.1,时期,Qing 17th-18th centuries,period
2005.5.395.6,时期,Qing 17th-18th centuries,period
2005.5.297,时期,Qing 20th century,period
2004.19.68.1.1,对象类型,print,type
2005.5.362.1,时期,Modern 20th century,period
2004.19.2.45,标题,Album Leaf from Illustrations of Chinese Costumes,title
2005.5.448.5,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.176,制作地点,China,place
2010.20.1.7.4,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.139,对象类型,skirt,type
2005.5.341,时期,Qing 19th century,period
2005.5.609,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.40,创作者,Wu Dacheng,artist
2005.5.544.2,文化,Chinese,culture
2004.19.68.1.14,材质,silk; paper; ink,material
2005.5.240.1,尺寸,overall: 102.1 cm x 12.4 cm,measurement
2004.19.43,对象类型,hanging scroll,type
2004.19.1.1.11,制作时间,ca. 1759,date
2005.5.125,文化,Chinese,culture
2004.19.72.6,类别,albums,category
2005.5.384,类别,clothing,category
2005.5.560.1.1,材质,linen; silk,material
2005.5.574,材料术语,Tapestry Weave											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.72.3,时期,Qing 18th century,period
2005.5.172,尺寸,overall: 138.2 cm x 194.5 cm; neck to hem: 138.2 cm; cuff to cuff: x 194.5 cm,measurement
2005.5.3.2,材质,dark purple-red silk cut velvet,material
2005.5.16,文化,Tibetan,culture
2005.5.302,对象类型,surcoat,type
2005.5.606.2,文化,Chinese,culture
2004.19.1.1.40,制作地点,China,place
2004.19.34,题跋,"Signed by Wang Hui Zhi and impressed with 4 artist seals.  There is an inscription by Hong Wu, dated 1796.",inscription
2005.5.602.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.38.2,描述,"This album leaf is one of thirteen inscriptions in Ren Yi’s Album of Figures, featuring a four-line poem with seven characters per line. The poem was written in cursive script by Taixi (1899–1989) and later attached to Ren Yi’s paintings. The text is associated with the imagery on the album leaf attached beneath it (2004.19.38.3).",description
2005.5.371,标题,Silk Tapestry Weave Collar from a Court Robe,title
2005.5.237,尺寸,overall: 93 cm x 17.5 cm,measurement
2005.5.573.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.91,制作地点,China,place
2005.5.359,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.180,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.2.16,类别,albums,category
2005.5.556.1,尺寸,overall: 28.6 cm x 28.5 cm,measurement
2005.5.87.3,尺寸,overall: 25.9 cm x 8.3 cm x .5 cm,measurement
2004.19.1.1.43,标题,Album Leaf from Illustrations of Costumes from the Qianlong Court,title
2005.5.621.6.1,制作地点,China,place
2005.5.497,类别,textiles,category
2005.5.271,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.396,材料术语,Brocade											 											  												 												 													 														View Materials Glossary Details »,glossary
2005.5.339,制作地点,China,place
2004.19.3.25,标题,Album Leaf from Insects,title
2009.8.9,尺寸,overall: 64.3 cm x 90.5 cm,measurement
2005.5.412,对象类型,robe,type
2004.19.68.1.20,文化,Chinese,culture
2005.5.537.2,标题,Silk Tapestry Weave Panel,title
2005.5.126,标题,Embroidered Gold Silk Tapestry Weave Panel with a Machine made Brocade Border,title
2005.5.559.2,尺寸,overall: 29.9 cm x 30.2 cm,measurement
2005.5.64,对象类型,panel,type
2005.5.25,尺寸,overall: 152.5 cm x 86.4 cm,measurement
2004.19.48,制作地点,China,place
2005.5.588.2,类别,textiles,category
2005.5.599,文化,Chinese,culture
2005.5.572,时期,Qing 19th century,period
2005.5.514,标题,Silk Brocade Yardage,title
2004.19.38.4,标题,Album Leaf from Album of Figures,title
2005.5.278.2,对象类型,panel,type
2004.19.1.1.10,题跋,"皇太后 皇后領約 謹按 本朝定制 皇太后 皇后領約 縷金為之 飾東珠十一 間以珊瑚 兩端垂明黃縧二 中各貫珊瑚 末墜綠松石各二 Translation of the Chinese text: ""Jeweled collar…   													皇太后 皇后領約 謹按 本朝定制 皇太后 皇后領約 縷金為之 飾東珠十一 間以珊瑚 兩端垂明黃縧二 中各貫珊瑚 末墜綠松石各二 Translation of the Chinese text: ""Jeweled collar lingyue for the Empress Dowager and Empress/In accordance with the decree of the present dynasty: The jeweled collar lingyue of the Empress Dowager and Empress is engraved gold decorated with eleven eastern pearls spaced by coral. There are two bright yellow dangling bands: at the centre which are strung with coral beads, and the ends are adorned with two green turquoise stones.""  (Translated and transcribed by Lisa Claypool, Ed., China’s Imperial Modern: The Painter’s Craft, Edmonton, AB: University of Alberta Museums, 2012, p. 104) On the reverse ""(58)"" is handwritten in pencil on the upper left corner.  Read More +",inscription
2005.5.391.1,制作时间,1662-1722,date
2004.19.71.3,文化,Chinese,culture
2004.19.11.9,标题,One Scroll from Peach Blossom Spring,title
2004.19.3.13,尺寸,sheet: 35.3 cm x 43.5 cm; image: 21.5 cm x 20.7 cm,measurement
2005.5.391.2,制作地点,China,place
2010.20.1.4.3,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2010.20.1.4.5,对象类型,book,type
2005.5.45,文化,Chinese,culture
2005.5.382.1,标题,Embroidered Cream Silk Sleeve Band,title
2004.19.3.7,文化,Chinese,culture
2005.5.407,对象类型,robe,type
2004.19.1.1.26,材质,ink; silk; paper,material
2005.5.403.4,制作地点,China,place
2005.5.580.1.2,材质,gold wrapped silk thread; silk floss; silk satin; silk twill; silver wrapped silk thread; embroidery,material
2005.5.603,制作地点,China,place
2005.5.391,时期,Qing 17th-18th centuries,period
2005.5.302,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2010.20.1.5.5,标题,"Magnificent Record of the Southern Tours, volume 29, chapters 71-72",title
2005.5.8,尺寸,overall: 143.3 cm x 180 cm;neck to hem: 143.3 cm;cuff to cuff: x 180 cm,measurement
2005.5.568.1.1,类别,textiles,category
2010.20.1.2.4,制作地点,China: Beijing,place
2005.5.587.2,时期,Qing 19th-20th centuries,period
2005.5.591.1,材料术语,Embroidery											 											  												 												 													 														View Materials Glossary Details »,glossary
2004.19.1.1.15,描述,"This album leaf is part of a section of the illustrations of costumes from the Qianlong court, Huangchao liqi tushi (“The Regulations for the Ceremonial Paraphernalia of the [Qing] Dynasty”). In total there are 34 folios that depict costumes appropriate for the Empress Dowager or Empress to wear at the imperial court along with short descriptive captions. This is the right leaf of one folio (attached to 2004.19.1.14) depicting the front of a formal court robe. The Chinese script describes the pictorial content of the painting and is translated as ""illustration of summer court robe chaopao second style for the Empress Dowager and Empress.""",description
2004.19.69,文化,Chinese,culture
2010.20.3,标题,Blue Silk Robe Fur Lined for Man,title
2010.20.1.8.2,对象类型,book,type
2005.5.230.4,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.433,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.115.2,标题,Embroidered Blue Silk Gauze for an Woman's Informal Robe,title
2004.19.2.4,对象类型,album leaf,type
2005.5.383.1,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.223,类别,textiles,category
2005.5.357,制作地点,China,place
2010.20.2,类别,published works,category
2004.19.38.1,文化,Chinese,culture
2005.5.564.2,制作地点,China,place
2005.5.575,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2004.19.3.29,类别,albums,category
2005.5.262,尺寸,overall: 62 cm x 62 cm,measurement
2004.19.1.1.41,对象类型,album leaf,type
2009.8.11.2,类别,textiles,category
2004.19.29,对象类型,handscroll set,type
2005.5.594.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.621.2,类别,clothing,category
2004.19.1.2,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.403.4.2,制作地点,China,place
2004.19.38.12,创作者,Ren Yi,artist
2005.5.236,制作地点,China,place
2004.19.90,对象类型,hanging scroll,type
2005.5.261,捐赠来源,Gift of Sandy and Cécile Mactaggart,donor
2005.5.370,材质,gold wrapped silk thread; dye; linen; silk; cotton; wood; cloth tape; tapestry weave,material
2005.5.570.1.2,时期,Qing 19th century,period
2004.19.25,对象类型,hanging scroll,type
